experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
9b22e72a-1e2a-4e68-9452-390531519a17,2022-08-24-09-13-16,2022-08-24-09-13-16,True,2022-08-24 09:13:16.111904,,,Pipeline has been started.,experiment.csv,,,2022-08-24 09:13:16.111904
9b22e72a-1e2a-4e68-9452-390531519a17,2022-08-24-09-13-16,2022-08-24-09-13-16,False,2022-08-24 09:13:16.111904,2022-08-24 09:15:24.020275,0 days 00:02:07.908371,Pipeline has been completed.,experiment.csv,0.5661418779361174,True,2022-08-24 09:15:24.020275
96c25b5c-f67d-40ad-8270-e1448d7cff32,2022-08-24-09-56-27,2022-08-24-09-56-27,True,2022-08-24 09:56:27.100033,,,Pipeline has been started.,experiment.csv,,,2022-08-24 09:56:27.100033
96c25b5c-f67d-40ad-8270-e1448d7cff32,2022-08-24-09-56-27,2022-08-24-09-56-27,False,2022-08-24 09:56:27.100033,2022-08-24 09:57:37.645571,0 days 00:01:10.545538,Pipeline has been completed.,experiment.csv,0.5661418779361174,True,2022-08-24 09:57:37.645571
a5ea15f0-f0f1-4a7e-9ecb-af0e71f719f0,2022-08-24-10-12-42,2022-08-24-10-12-42,True,2022-08-24 10:12:42.895797,,,Pipeline has been started.,experiment.csv,,,2022-08-24 10:12:42.895797
a5ea15f0-f0f1-4a7e-9ecb-af0e71f719f0,2022-08-24-10-12-42,2022-08-24-10-12-42,False,2022-08-24 10:12:42.895797,2022-08-24 10:13:58.041691,0 days 00:01:15.145894,Pipeline has been completed.,experiment.csv,0.5661418779361174,True,2022-08-24 10:13:58.041691
ad13e42d-4e61-4c29-bb74-5145e6a5e336,2022-08-24-16-32-09,2022-08-24-16-32-09,True,2022-08-24 16:32:09.095584,,,Pipeline has been started.,experiment.csv,,,2022-08-24 16:32:09.135588
ad13e42d-4e61-4c29-bb74-5145e6a5e336,2022-08-24-16-32-09,2022-08-24-16-32-09,False,2022-08-24 16:32:09.095584,2022-08-24 16:34:49.655201,0 days 00:02:40.559617,Pipeline has been completed.,experiment.csv,0.5661418779361174,True,2022-08-24 16:34:49.655201
ec668628-6f9e-4866-be2c-41caa59e28aa,2022-08-24-17-58-28,2022-08-24-17-58-28,True,2022-08-24 17:58:28.246491,,,Pipeline has been started.,experiment.csv,,,2022-08-24 17:58:28.246491
ec668628-6f9e-4866-be2c-41caa59e28aa,2022-08-24-17-58-28,2022-08-24-17-58-28,False,2022-08-24 17:58:28.246491,2022-08-24 18:00:18.963602,0 days 00:01:50.717111,Pipeline has been completed.,experiment.csv,0.5661418779361174,True,2022-08-24 18:00:18.963602
a55862e4-6fc1-4e39-8f7c-1e8480d7c481,2022-08-24-19-19-28,2022-08-24-19-19-28,True,2022-08-24 19:19:28.148581,,,Pipeline has been started.,experiment.csv,,,2022-08-24 19:19:28.148581
a559404b-ac9b-4eb8-bf91-5a918a5d2253,2022-08-24-19-27-03,2022-08-24-19-27-03,True,2022-08-24 19:27:03.369386,,,Pipeline has been started.,experiment.csv,,,2022-08-24 19:27:03.369386
749ed32b-130d-4b49-b856-248c7dfbbd7b,2022-08-24-19-36-15,2022-08-24-19-36-15,True,2022-08-24 19:36:15.134563,,,Pipeline has been started.,experiment.csv,,,2022-08-24 19:36:15.134563
749ed32b-130d-4b49-b856-248c7dfbbd7b,2022-08-24-19-36-15,2022-08-24-19-36-15,False,2022-08-24 19:36:15.134563,2022-08-24 19:38:09.722940,0 days 00:01:54.588377,Pipeline has been completed.,experiment.csv,0.565760098116099,False,2022-08-24 19:38:09.722940
bdb1c8e1-1674-42bd-92a1-ee5b8335cd52,2022-08-24-23-01-43,2022-08-24-23-01-43,True,2022-08-24 23:01:43.962889,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:01:43.962889
8e4e89ad-b25b-4f4a-8832-c65471be452f,2022-08-24-23-02-57,2022-08-24-23-02-57,True,2022-08-24 23:02:57.094951,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:02:57.094951
11a29086-5935-494b-a18b-59a94acf5961,2022-08-24-23-03-53,2022-08-24-23-03-53,True,2022-08-24 23:03:53.648050,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:03:53.648050
1a96d687-5ab8-4777-94a7-0874bc6cf5e3,2022-08-24-23-05-33,2022-08-24-23-05-33,True,2022-08-24 23:05:34.010847,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:05:34.026474
6778decf-6ad9-4ddc-92dc-d53fc5c0d640,2022-08-24-23-06-47,2022-08-24-23-06-47,True,2022-08-24 23:06:47.639183,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:06:47.639183
a6cad2f8-20c5-4a4f-92d1-d9d647d40c96,2022-08-24-23-15-13,2022-08-24-23-15-13,True,2022-08-24 23:15:13.163316,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:15:13.163316
4f23f34d-7f55-4015-b95f-b34f211fa551,2022-08-24-23-39-35,2022-08-24-23-39-35,True,2022-08-24 23:39:35.560613,,,Pipeline has been started.,experiment.csv,,,2022-08-24 23:39:35.561614
5e6683c4-98be-4df9-99a0-1655a0df4cdf,2022-08-25-00-40-35,2022-08-25-00-40-35,True,2022-08-25 00:40:35.349081,,,Pipeline has been started.,experiment.csv,,,2022-08-25 00:40:35.350082
de98e64a-89d4-4a47-ae37-7178cd6c1549,2022-08-25-00-48-43,2022-08-25-00-48-43,True,2022-08-25 00:48:43.773774,,,Pipeline has been started.,experiment.csv,,,2022-08-25 00:48:43.773774
36c723bb-ed03-4e88-88ea-12c7cdd7f6f1,2022-08-25-00-50-30,2022-08-25-00-50-30,True,2022-08-25 00:50:30.242824,,,Pipeline has been started.,experiment.csv,,,2022-08-25 00:50:30.242824
8bde50fe-a6a4-434a-b2a7-d6ae301186cb,2022-08-25-00-55-17,2022-08-25-00-55-17,True,2022-08-25 00:55:17.544124,,,Pipeline has been started.,experiment.csv,,,2022-08-25 00:55:17.544124
8bde50fe-a6a4-434a-b2a7-d6ae301186cb,2022-08-25-00-55-17,2022-08-25-00-55-17,False,2022-08-25 00:55:17.544124,2022-08-25 00:58:57.291202,0 days 00:03:39.747078,Pipeline has been completed.,experiment.csv,0.565760098116099,False,2022-08-25 00:58:57.291202
462ced27-833f-46f2-8143-f73f82126a02,2022-08-25-10-13-05,2022-08-25-10-13-05,True,2022-08-25 10:13:05.852431,,,Pipeline has been started.,experiment.csv,,,2022-08-25 10:13:05.852431
462ced27-833f-46f2-8143-f73f82126a02,2022-08-25-10-13-05,2022-08-25-10-13-05,False,2022-08-25 10:13:05.852431,2022-08-25 10:15:13.389683,0 days 00:02:07.537252,Pipeline has been completed.,experiment.csv,0.567711345605386,False,2022-08-25 10:15:13.389683
018246e8-edfb-410b-8bcf-64a681307e9c,2022-08-25-15-03-39,2022-08-25-15-03-39,True,2022-08-25 15:03:39.595115,,,Pipeline has been started.,experiment.csv,,,2022-08-25 15:03:39.595115
018246e8-edfb-410b-8bcf-64a681307e9c,2022-08-25-15-03-39,2022-08-25-15-03-39,False,2022-08-25 15:03:39.595115,2022-08-25 15:06:54.136358,0 days 00:03:14.541243,Pipeline has been completed.,experiment.csv,0.567711345605386,False,2022-08-25 15:06:54.136358
0cec6314-44b0-4029-aba0-b2fd9f58186b,2022-08-25-15-15-32,2022-08-25-15-15-32,True,2022-08-25 15:15:32.337246,,,Pipeline has been started.,experiment.csv,,,2022-08-25 15:15:32.337246
0cec6314-44b0-4029-aba0-b2fd9f58186b,2022-08-25-15-15-32,2022-08-25-15-15-32,False,2022-08-25 15:15:32.337246,2022-08-25 15:18:22.014054,0 days 00:02:49.676808,Pipeline has been completed.,experiment.csv,0.567711345605386,False,2022-08-25 15:18:22.014054
